"","day","time","junk1","junk2","Nflasks","quality","co2","date"
"280","1974-07-18"," 09:47",27228.41,1974.544,2,0,330.86,1974-07-18 09:47:00
"281","1974-07-24"," 14:00",27234.58,1974.561,2,4,NA,1974-07-24 14:00:00
"282","1974-08-15"," 09:47",27256.41,1974.62,2,0,328.82,1974-08-15 09:47:00
"283","1974-08-29"," 08:55",27270.37,1974.659,2,0,328.37,1974-08-29 08:55:00
"284","1974-09-17"," 17:00",27289.71,1974.712,2,0,326.7,1974-09-17 17:00:00
"285","1974-10-03"," 11:45",27305.49,1974.755,2,0,327.52,1974-10-03 11:45:00
"286","1974-10-17"," 11:15",27319.47,1974.793,2,4,NA,1974-10-17 11:15:00
"287","1974-11-01"," 14:25",27334.6,1974.835,2,0,326.64,1974-11-01 14:25:00
"288","1974-11-14"," 10:25",27347.43,1974.87,2,0,330.26,1974-11-14 10:25:00
"289","1974-11-29"," 14:50",27362.62,1974.911,2,4,NA,1974-11-29 14:50:00
"290","1974-12-02"," 06:36",27365.28,1974.919,5,0,329.91,1974-12-02 06:36:00
"291","1975-02-20"," 11:50",27445.49,1975.138,2,0,331.1,1975-02-20 11:50:00
"292","1975-02-27"," 09:15",27452.39,1975.157,2,0,331.48,1975-02-27 09:15:00
"293","1975-03-13"," 15:15",27466.64,1975.196,2,0,332.02,1975-03-13 15:15:00
"294","1975-04-03"," 11:15",27487.47,1975.253,2,0,332.88,1975-04-03 11:15:00
"295","1975-04-17"," 09:20",27501.39,1975.291,2,0,333.2,1975-04-17 09:20:00
"296","1975-05-01"," 09:50",27515.41,1975.33,2,0,333.82,1975-05-01 09:50:00
"297","1975-05-15"," 12:50",27529.53,1975.369,2,0,334.43,1975-05-15 12:50:00
